OPTIC - Optio Protocol Telemetry & Intelligence Center
Address ledger (sent/recv, from/to, amount, fee, running balance)

CWD:          C:\workspace\OPTIC\OPTIC
Config path:  C:\workspace\optic\optic\optic.conf
Config exists:True

OPTIC - Daily Stats Backfill (Block Scanner)
Local data sync initialized at: C:\workspace\OPTIC\OPTIC\odata\optic.db
Scanning blocks from RPC node...
LCD endpoint not available, trying RPC endpoint...
Latest block height: 588561
Starting block scan from block 0...

Γ£ô 2024-11-05 | Blocks: 0 - 1 | Wallets: ? | Active: ? | Txs: ?

  2025-01-01 | Blocks: 23,725 - 25,100 | Wallets: 863 | Txs: 143          Γ£ô 2025-01-01 | Blocks: 23,725 - 25,140 | Wallets: 863 | Active: 431 | Txs: 143

  2025-01-02 | Blocks: 25,141 - 25,200 | Wallets: 0 | Txs: 0          
  2025-01-02 | Blocks: 25,141 - 25,300 | Wallets: 0 | Txs: 0          
  2025-01-02 | Blocks: 25,141 - 25,400 | Wallets: 0 | Txs: 0          
  2025-01-02 | Blocks: 25,141 - 25,500 | Wallets: 0 | Txs: 0          
  2025-01-02 | Blocks: 25,141 - 25,600 | Wallets: 0 | Txs: 0          
  2025-01-02 | Blocks: 25,141 - 25,700 | Wallets: 0 | Txs: 0          
  2025-01-02 | Blocks: 25,141 - 25,800 | Wallets: 0 | Txs: 0          
  2025-01-02 | Blocks: 25,141 - 25,900 | Wallets: 0 | Txs: 0          
  2025-01-02 | Blocks: 25,141 - 26,000 | Wallets: 0 | Txs: 0          
  2025-01-02 | Blocks: 25,141 - 26,100 | Wallets: 0 | Txs: 0          
  2025-01-02 | Blocks: 25,141 - 26,200 | Wallets: 0 | Txs: 0          
  2025-01-02 | Blocks: 25,141 - 26,300 | Wallets: 869 | Txs: 143          
  2025-01-02 | Blocks: 25,141 - 26,400 | Wallets: 869 | Txs: 152          
  2025-01-02 | Blocks: 25,141 - 26,500 | Wallets: 869 | Txs: 154          Γ£ô 2025-01-02 | Blocks: 25,141 - 26,556 | Wallets: 869 | Active: 434 | Txs: 154

  2025-01-03 | Blocks: 26,557 - 26,600 | Wallets: 0 | Txs: 0          
  2025-01-03 | Blocks: 26,557 - 26,700 | Wallets: 0 | Txs: 0          
  2025-01-03 | Blocks: 26,557 - 26,800 | Wallets: 0 | Txs: 0          
